,0
553,"""IA"""
554,"""IA"""
555,"""IA"""
556,"""IA"""
557,"""IA"""
558,"""IA"""
559,"""IA"""
560,"""IA"""
561,"""IA"""
562,"""IA"""
563,"""IA"""
564,"""IA"""
565,"""IA"""
566,"""IA"""
567,"""IA"""
568,"""IA"""
569,"""IA"""
570,"""IA"""
571,"""IA"""
572,"""IA"""
573,"""IA"""
574,"""IA"""
575,"""IA"""
576,"""IA"""
577,"""IA"""
578,"""IA"""
579,"""IA"""
580,"""IA"""
581,"""IA"""
582,"""IA"""
583,"""IA"""
584,"""IA"""
585,"""IA"""
586,"""IA"""
587,"""IA"""
588,"""IA"""
589,"""IA"""
590,"""IA"""
591,"""IA"""
592,"""IA"""
593,"""IA"""
594,"""IA"""
595,"""IA"""
596,"""IA"""
597,"""IA"""
598,"""IA"""
599,"""IA"""
600,"""IA"""
601,"""IA"""
602,"""IA"""
603,"""IA"""
604,"""IA"""
605,"""IA"""
606,"""IA"""
607,"""IA"""
608,"""IA"""
609,"""IA"""
610,"""IA"""
611,"""IA"""
612,"""IA"""
613,"""IA"""
614,"""IA"""
615,"""IA"""
616,"""IA"""
617,"""IA"""
618,"""IA"""
619,"""IA"""
620,"""IA"""
621,"""IA"""
622,"""IA"""
623,"""IA"""
624,"""IA"""
625,"""IA"""
626,"""IA"""
627,"""IA"""
628,"""IA"""
629,"""IA"""
630,"""IA"""
631,"""IA"""
632,"""IA"""
633,"""IA"""
634,"""IA"""
635,"""IA"""
636,"""IA"""
637,"""IA"""
638,"""IA"""
639,"""IA"""
640,"""IA"""
641,"""IA"""
642,"""IA"""
643,"""IA"""
644,"""IA"""
645,"""IA"""
646,"""IA"""
647,"""IA"""
648,"""IA"""
649,"""IA"""
650,"""IA"""
651,"""IA"""
652,"""IA"""
653,"""IA"""
654,"""IA"""
655,"""IA"""
656,"""IA"""
657,"""IA"""
658,"""IA"""
659,"""IA"""
660,"""IA"""
661,"""IA"""
662,"""IA"""
663,"""IA"""
664,"""IA"""
665,"""IA"""
666,"""IA"""
667,"""IA"""
668,"""IA"""
669,"""IA"""
670,"""IA"""
671,"""IA"""
672,"""IA"""
673,"""IA"""
674,"""IA"""
675,"""IA"""
676,"""IA"""
677,"""IA"""
678,"""IA"""
679,"""IA"""
680,"""IA"""
681,"""IA"""
682,"""IA"""
683,"""IA"""
684,"""IA"""
685,"""IA"""
686,"""IA"""
687,"""IA"""
688,"""IA"""
689,"""IA"""
690,"""IA"""
691,"""IA"""
692,"""IA"""
693,"""IA"""
694,"""IA"""
695,"""IA"""
696,"""IA"""
697,"""IA"""
698,"""IA"""
699,"""IA"""
700,"""IA"""
701,"""IA"""
702,"""IA"""
703,"""IA"""
704,"""IA"""
705,"""IA"""
706,"""IA"""
707,"""IA"""
708,"""IA"""
709,"""IA"""
710,"""IA"""
711,"""IA"""
712,"""IA"""
713,"""IA"""
714,"""IA"""
715,"""IA"""
716,"""IA"""
717,"""IA"""
718,"""IA"""
719,"""IA"""
720,"""IA"""
721,"""IA"""
722,"""IA"""
723,"""IA"""
724,"""IA"""
725,"""IA"""
726,"""IA"""
727,"""IA"""
728,"""IA"""
729,"""IA"""
730,"""IA"""
731,"""IA"""
732,"""IA"""
733,"""IA"""
734,"""IA"""
735,"""IA"""
736,"""IA"""
737,"""IA"""
738,"""IA"""
739,"""IA"""
740,"""IA"""
741,"""IA"""
742,"""IA"""
743,"""IA"""
744,"""IA"""
745,"""IA"""
746,"""IA"""
747,"""IA"""
748,"""IA"""
749,"""IA"""
750,"""IA"""
751,"""IA"""
752,"""IA"""
753,"""IA"""
754,"""IA"""
755,"""IA"""
756,"""IA"""
757,"""IA"""
758,"""IA"""
759,"""IA"""
760,"""IA"""
761,"""IA"""
762,"""IA"""
763,"""IA"""
764,"""IA"""
765,"""IA"""
766,"""IA"""
767,"""IA"""
768,"""IA"""
769,"""IA"""
